iter	MultiClass
0	1.375921828
1	1.094749142
2	0.9065834997
3	0.7676241657
4	0.6582241896
5	0.5705352983
6	0.4980306505
7	0.4376448731
8	0.386652847
9	0.3425445473
10	0.3045960299
11	0.2718738571
12	0.24325037
13	0.2181952365
14	0.1961202526
15	0.1767326245
16	0.159758672
17	0.1446555499
18	0.1312543305
19	0.1196299185
20	0.1090476108
21	0.0996160686
22	0.09111429251
23	0.0834674598
24	0.07673089731
25	0.07059230564
26	0.06507934648
27	0.06004697861
28	0.05568551467
29	0.05178433154
30	0.04818806541
31	0.04487101337
32	0.0419593802
33	0.03936737282
34	0.03679568658
35	0.03459704147
36	0.03266278763
37	0.03085157024
38	0.02941957759
39	0.027888633
40	0.02659576878
41	0.02535914126
42	0.02423152656
43	0.02335681443
44	0.02241434931
45	0.02157333925
46	0.02087070556
47	0.02039052188
48	0.01969432899
49	0.01915123966
50	0.0185463586
51	0.01806261143
52	0.01781774593
53	0.01740685932
54	0.0170618862
55	0.01680548999
56	0.01638684885
57	0.01615093123
58	0.01594195038
59	0.0156333475
60	0.01544313571
61	0.01510744388
62	0.01493566594
63	0.0146754166
64	0.01458166098
65	0.01434250539
66	0.01423282324
67	0.01407752742
68	0.01383746097
69	0.01376739958
70	0.01344519195
71	0.01334623185
72	0.0132859211
73	0.01311222803
74	0.01294656346
75	0.01289922241
76	0.01279544139
77	0.01261767409
78	0.01234873703
79	0.01227134788
80	0.01221703346
81	0.01211007494
82	0.01203889309
83	0.01196406127
84	0.0119350468
85	0.01187701508
86	0.01179032202
87	0.01158412134
88	0.01151113892
89	0.01143612429
90	0.01140932221
91	0.01139332803
92	0.01134546982
93	0.01130027624
94	0.01126964425
95	0.01107255437
96	0.01090000012
97	0.01087619561
98	0.01080170724
99	0.01077111232
100	0.01074441803
101	0.01070379854
102	0.0106729102
103	0.01063256818
104	0.01050792025
105	0.0104612029
106	0.01043025362
107	0.01032533283
108	0.01027976328
109	0.01022894214
110	0.0101925498
111	0.01016604501
112	0.01012487793
113	0.0100997183
114	0.01005748722
115	0.01003404756
116	0.009992474544
117	0.009956840404
118	0.009924161853
119	0.009905280105
120	0.009863929958
121	0.009846834704
122	0.009829818458
123	0.009805982202
124	0.009786486551
125	0.009757015845
126	0.009724732723
127	0.009688117752
128	0.009671102577
129	0.009621796358
130	0.009573615358
131	0.009540550347
132	0.009516928358
133	0.009496981722
134	0.009456106103
135	0.009420700875
136	0.009392145443
137	0.009366471905
138	0.009330557677
139	0.009302436503
140	0.009277937398
141	0.009262103245
142	0.009252852782
143	0.009236232988
144	0.009217641164
145	0.00918796696
146	0.009161091787
147	0.009145162298
148	0.009132955299
149	0.009101893743
150	0.009046187333
151	0.009026819269
152	0.009008200023
153	0.008988487963
154	0.00896872308
155	0.008956538069
156	0.008936334702
157	0.008914031566
158	0.008870335424
159	0.008843933969
160	0.008827246173
161	0.008815150786
162	0.008800014061
163	0.008777986995
164	0.008769067529
165	0.008715760352
166	0.008702562185
167	0.008692492367
168	0.008668878633
169	0.008643072052
170	0.008632885663
171	0.008617791194
172	0.008611883594
173	0.008590680167
174	0.008583625393
175	0.008567505556
176	0.008555638806
177	0.00854694284
178	0.008530429752
179	0.008496762374
180	0.008480400091
181	0.008467915566
182	0.008450526871
183	0.008431411059
184	0.008421211432
185	0.008412146454
186	0.008401421834
187	0.008385456243
188	0.008377982793
189	0.008364029624
190	0.008334054275
191	0.008326167031
192	0.008310279041
193	0.008290685348
194	0.008283446266
195	0.008230238097
196	0.008216105006
197	0.00819927893
198	0.008188525807
199	0.008181035764
